esntl_no,elsm_nm,schl_nm,fdtn_sctn_dscnt,tot_po,ten_und_po,hshld_co,examin_mt,examin_dt,ave_fnds,qltwtr_poll_entrps_co,addr_1,addr_2
1,어린이집,이루숲어린이집,사립,131164,4236,17007,11,1,28.18601937,0,강원도,춘천시
10,어린이집,창의나라어린이집,사립,119519,3793,14986,11,1,28.18601937,0,강원도,춘천시
100,어린이집,사랑어린이집,사립,12371,163,2266,11,1,28.18601937,0,강원도,춘천시
1000,어린이집,꼬마대통령어린이집,사립,29106,714,6988,11,1,28.18601937,0,강원도,강릉시
1001,어린이집,솔빛어린이집,사립,79212,1715,11545,11,1,28.18601937,0,강원도,강릉시
1002,어린이집,꿈꾸는어린이집,사립,16346,442,2349,11,1,28.18601937,0,강원도,강릉시
1003,어린이집,베이비스쿨어린이집,사립,51121,797,8920,11,1,28.18601937,10,강원도,강릉시
1004,어린이집,클아이몬테소리어린이집,사립,50559,1020,7793,11,1,28.18601937,0,강원도,강릉시
1006,어린이집,애플어린이집,사립,79212,1715,11545,11,1,28.18601937,1,강원도,강릉시
10062,유치원,아카밸리숲유치원,사립,31451,766,4835,11,1,28.18601937,1,경기도,이천시
10063,유치원,자연유치원,사립,131181,6299,18244,11,1,28.18601937,0,경기도,이천시
10064,유치원,이천은광유치원,사립,131181,6299,18244,11,1,28.18601937,0,경기도,이천시
10065,유치원,봄밭유치원,사립,114255,5329,14618,11,1,28.18601937,0,경기도,이천시
10066,유치원,나래초등학교병설유치원,공립,47649,1361,6501,11,1,28.18601937,0,경기도,이천시
10067,유치원,대서초등학교병설유치원,공립,47649,1361,6501,11,1,28.18601937,0,경기도,이천시
10068,유치원,대월초등학교병설유치원,공립,40388,1671,6906,11,1,28.18601937,2,경기도,이천시
10069,유치원,도암초등학교병설유치원,공립,36033,842,6073,11,1,28.18601937,2,경기도,이천시
1007,어린이집,누리콩어린이집,사립,59716,1408,8252,11,1,28.18601937,0,강원도,강릉시
10070,유치원,도지초등학교병설유치원,공립,32220,796,4677,11,1,28.18601937,3,경기도,이천시
10071,유치원,마장초등학교병설유치원,공립,30723,413,5612,11,1,28.18601937,0,경기도,이천시
10072,유치원,나루유치원,사립,114255,5329,14618,11,1,28.18601937,1,경기도,이천시
10073,유치원,삼성숲유치원,사립,114255,5329,14618,11,1,28.18601937,2,경기도,이천시
10074,유치원,백사초등학교병설유치원,공립,32220,796,4677,11,1,28.18601937,3,경기도,이천시
10075,유치원,부발초등학교병설유치원,공립,114255,5329,14618,11,1,28.18601937,1,경기도,이천시
10076,유치원,설봉초등학교병설유치원,공립,56098,1463,8335,11,1,28.18601937,2,경기도,이천시
10077,유치원,설성초등학교병설유치원,공립,15779,258,2501,11,1,28.18601937,0,경기도,이천시
10078,유치원,송곡초등학교병설유치원,공립,14955,214,2211,11,1,28.18601937,4,경기도,이천시
10079,유치원,신둔초등학교병설유치원,공립,36033,842,6073,11,1,28.18601937,0,경기도,이천시
1008,어린이집,소라어린이집,사립,79212,1715,11545,11,1,28.18601937,1,강원도,강릉시
10080,유치원,신하초등학교병설유치원,공립,114255,5329,14618,11,1,28.18601937,0,경기도,이천시
10081,유치원,아미초등학교병설유치원,공립,114255,5329,14618,11,1,28.18601937,1,경기도,이천시
10082,유치원,안흥초등학교병설유치원,공립,131181,6299,18244,11,1,28.18601937,0,경기도,이천시
10083,유치원,율면초등학교병설유치원,공립,9566,104,1468,11,1,28.18601937,0,경기도,이천시
10084,유치원,이천가산초등학교병설유,공립,114255,5329,14618,11,1,28.18601937,2,경기도,이천시
10085,유치원,이천송정초등학교병설유,공립,131181,6299,18244,11,1,28.18601937,0,경기도,이천시
10086,유치원,이천초등학교병설유치원,공립,56098,1463,8335,11,1,28.18601937,0,경기도,이천시
10087,유치원,이천남초등학교병설유치,공립,48810,1357,7574,11,1,28.18601937,2,경기도,이천시
10088,유치원,이천단월초등학교병설유,공립,48810,1357,7574,11,1,28.18601937,0,경기도,이천시
10089,유치원,이천매곡초등학교병설유,공립,17883,430,2695,11,1,28.18601937,0,경기도,이천시
1009,어린이집,보보스어린이집,사립,21617,721,3212,11,1,28.18601937,0,강원도,강릉시
