"사업유형","사업번호","사업계획변경순번","사업년도","계속사업여부","계속사업시작연도","사업유형코드","비예산여부","특수사업명코드","사업명","관활시도명","시군구코드","관할시군구","기관ID","수행기관관활시도명","수행기관시군구","사업기간시작일","사업기간종료일","사업계획서상태코드","목표일자리수","최초등록첨부파일","최근승인첨부파일","삭제여부"
사회서비스형,"2023-99139",1,"2023",Y,"2023",보육시설(어린이집 등) 지원(B-01),N,"105001",보육시설지원사업,대구광역시,"2771000000",달성군,"0002621",대구광역시,달성군,2023-01-02 00:00:00.000,2023-12-31 00:00:00.000,반려,290,"2023년+보육시설지원+사업계획서(최종수정).hwp",,Y
사회서비스형,"2023-99138",1,"2023",Y,"2023",보육시설(어린이집 등) 지원(B-01),N,"105001",보육시설지원,대구광역시,"2771000000",달성군,"0002621",대구광역시,달성군,2023-01-02 00:00:00.000,2023-12-31 00:00:00.000,반려,290,"2023년+보육시설지원+사업계획서(최종수정).hwp",,Y
사회서비스형,"2023-10879",3,"2023",N,"2023",노인 관련 시설지원(B-07),N,"105001",노인관련 시설지원,부산광역시,"2644000000",강서구,"0723083",부산광역시,강서구,2023-01-26 00:00:00.000,2023-12-31 00:00:00.000,승인완료,13,"2023년 사회서비스형 사업계획서_노인관련시설지원.hwp","2023년 사회서비스형 사업계획서_노인관련시설지원_예산수정(2).hwp",N
시장형,"2023-77262",2,"2023",N,"2023",기타(E-19),N,"105001",노인장기요양시설 급식지원단,인천광역시,"2826000000",서구,"0001444",인천광역시,서구,2023-07-13 00:00:00.000,2023-12-29 00:00:00.000,승인완료,10,"2023년 노인장기요양시설 급식지원단사업계획서.hwp",,N
공익활동형,"2023-24603",1,"2023",N,"2023",노노케어(A-01),N,"105001",노노케어(11개월),서울특별시,"1162000000",관악구,"0000150",서울특별시,관악구,2023-02-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,83,"2023년 노노케어(11개월) 사업계획서.hwp",,N
공익활동형,"2023-11269",2,"2023",N,"2023",기타(A-19),N,"105001",환경지킴이,전라북도,"4511000000",전주시,"0002164",전라북도,전주시,2023-01-18 00:00:00.000,2023-12-15 00:00:00.000,승인완료,8,"2023년 공익활동 사업계획(환경지킴이).hwp",,N
공익활동형,"2023-12759",2,"2023",Y,"2016",보육시설 봉사(A-10),N,"105001",보육교사 도우미,경상북도,"4772000000",군위군,"0001504",경상북도,군위군,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,4,A-10)23년 보육교사도우미.hwp,,N
공익활동형,"2023-11140",1,"2023",Y,"2017",지역사회 환경개선 봉사(A-16),N,"105001",지역명산지키미,충청남도,"4480000000",홍성군,"0001537",충청남도,홍성군,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,45,"5지역명산지키미.hwp",,N
시장형,"2023-11674",2,"2023",Y,"2019",기타(E-07),N,"105001",흙토람이천도예공방,경기도,"4150000000",이천시,"0000082",경기도,이천시,2023-01-02 00:00:00.000,2023-12-29 00:00:00.000,승인완료,11,"2023년 시장형사업단 사업계획서.hwp",,N
공익활동형,"2023-54545",1,"2023",N,"2023",노노케어(A-01),N,"105001",노노케어사업(기회),경기도,"4146000000",용인시,"0001018",경기도,용인시,2023-03-02 00:00:00.000,2023-12-29 00:00:00.000,승인완료,12,"2023년 노노케어(기회) 사업계획서.hwp",,N
사회서비스형,"2023-86628",2,"2023",N,"2023",취약계층 공익증진 서비스(B-09),N,"105001",취약계층 돌봄서비스,강원도,"4273000000",횡성군,"0001758",강원도,횡성군,2023-09-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,11,취약계층 돌봄서비스 사업계획서.hwp,,N
공익활동형,"2023-29758",1,"2023",N,"2023",공공의료 및 복지시설 봉사(A-15),N,"105001",노인이용시설복지도우미,충청남도,"4476000000",부여군,"0001086",충청남도,부여군,2023-02-01 00:00:00.000,2023-12-31 00:00:00.000,임시,50,,,Y
사회서비스형,"2023-38432",1,"2023",N,"2023",노인일자리 담당자 업무지원(B-14),N,"105001",노인일자리 서포터즈,서울특별시,"1174000000",강동구,"0006020",서울특별시,강동구,2023-02-01 00:00:00.000,2023-11-30 00:00:00.000,임시,14,★2023년 사회서비스형 노인일자리 서포터즈 사업계획서_14명_김인범.hwp,,Y
시장형,"2023-11094",7,"2023",N,"2023",카페(E-08),N,"105001",Cafe愛오다-명곡도서관,경상남도,"4812000000",창원시,"0000950",경상남도,창원시,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,10,★9. 2023년 시장형사업단 사업계획서(Cafe愛오다-명곡도서관).hwp,"9. 2023년 시장형사업단 사업계획서(Cafe愛오다-명곡도서관)_11.27수정.hwp",N
사회서비스형,"2023-28288",2,"2023",N,"2023",노인일자리 담당자 업무지원(B-14),N,"105001",노인일자리 담당자 업무지원,충청남도,"4480000000",홍성군,"0000825",충청남도,홍성군,2023-02-01 00:00:00.000,2023-11-30 00:00:00.000,승인완료,1,"9.노인일자리 담당자 업무지원 사업계획서.hwp","2023년 7월 노인일자리담당자 사업계획변경.hwp",N
공익활동형,"2023-67927",1,"2023",Y,"2018",기타(A-19),N,"105001",공공시설봉사사업,경상남도,"4817000000",진주시,"0001442",경상남도,진주시,2023-01-09 00:00:00.000,2023-12-31 00:00:00.000,임시,130,"2023 공공시설사업계획서(변경).hwp",,Y
사회서비스형,"2023-10766",3,"2023",Y,"2019",온종일돌봄 시설 지원(B-02),N,"105001",지역아동센터 지원,전라남도,"4690000000",진도군,"0000395",전라남도,진도군,2023-02-01 00:00:00.000,2023-12-15 00:00:00.000,승인완료,23,"2023년 사회서비스형 사업계획서(지역아동센터지원).hwpx","2023년+사회서비스형+사업계획서(지역아동센터지원)2월_수정.hwpx",N
사회서비스형,"2023-10788",1,"2023",Y,"2019",장애인 서비스 지원(B-06),N,"105001",장애인 서비스 지원,전라남도,"4690000000",진도군,"0000395",전라남도,진도군,2023-02-01 00:00:00.000,2023-12-15 00:00:00.000,승인완료,4,"2023년 사회서비스형 사업계획서(장애인서비스지원).hwpx",,N
공익활동형,"2023-11191",2,"2023",Y,"2020",경륜전수 활동(A-23),N,"105001",노노강사파견,전라남도,"4682000000",해남군,"0000388",전라남도,해남군,2023-01-09 00:00:00.000,2023-02-28 00:00:00.000,승인완료,1,"23년 노노강사파견.hwp","23년 노노강사파견.hwp",N
공익활동형,"2023-11233",4,"2023",Y,"2011",공원 놀이터 등 공공시설 봉사(A-13),N,"105001",실버해피도우미,충청남도,"4480000000",홍성군,"0000113",충청남도,홍성군,2023-02-01 00:00:00.000,2023-12-22 00:00:00.000,승인완료,208,"2. 실버해피도우미.hwp","2.+실버해피도우미.hwp",N
